"Group","ProviderCount","ActiveProviders","ProfitableProviders","LosingProviders","TotalPeak","TotalCurrent","GroupDD","NetPL"
"284538","2153","2","1584","568","29023.749999999978","8935.010000000002","69.21483268013262","8935.010000000002"
"284720","18","0","13","4","3599.71","3401.7","5.500720891405146","3401.7"
"286254","3829","7","2617","1192","9950.070000000022","1476.3500000000029","85.16241594280243","1476.3500000000029"
"284214","13","0","8","4","911.49","666.47","26.88126035392599","666.47"
"276594","8","0","6","2","526.18","459.02","12.76369303280246","459.02"
"286940","444","10","285","157","608.3899999999996","342.9699999999997","43.626621081871846","342.9699999999997"
"286289","10","2","5","4","647.19","77.74000000000004","87.98807150913952","77.74000000000004"
