"Group","Providers","TotalCurrent","TotalPeak","DD","Profitable","Losing","Active"
"284214","4","283.88","283.88","0","3","0","0"
"286940","127","149.28999999999985","394.93","62.198364267085346","77","49","9"
"284538","118","145.8599999999999","485.3599999999999","69.9480797758365","88","29","3"
"286289","3","61.2","61.2","0","2","0","0"
"276594","1","0","0.58","100","0","0","0"
"284720","1","0","0","0","0","0","0"
"286254","98","-51.66999999999998","132.64000000000001","138.95506634499395","59","38","0"
