"Group","ProviderCount","ActiveProviders","ProfitableProviders","LosingProviders","TotalPeak","TotalCurrent","GroupDD","NetPL"
"284538","2153","2","1584","568","29023.749999999978","8933.330000000002","69.22062104311122","8933.330000000002"
"284720","18","0","13","4","3599.71","3401.7","5.500720891405146","3401.7"
"286254","3829","7","2617","1192","9950.070000000022","1475.3400000000026","85.17256662515943","1475.3400000000026"
"284214","13","0","8","4","911.49","666.47","26.88126035392599","666.47"
"276594","8","0","6","2","526.18","459.02","12.76369303280246","459.02"
"286940","444","10","286","156","608.3899999999996","345.98999999999967","43.13022896497315","345.98999999999967"
"286289","10","2","5","4","647.19","89.14000000000003","86.22661042352323","89.14000000000003"
