"Group","Providers","TotalCurrent","TotalPeak","DD","Profitable","Losing","Active"
"284538","333","552.2599999999999","1838.2500000000002","69.95729634162927","253","79","5"
"284214","5","369.9","369.9","0","4","0","0"
"286940","311","313.30999999999983","847.4199999999997","63.02777843336245","196","114","5"
"286289","4","4.260000000000005","61.2","93.0392156862745","2","1","1"
"276594","1","0","0.58","100","0","0","0"
"284720","1","0","0","0","0","0","0"
"286254","98","-51.66999999999998","132.64000000000001","138.95506634499395","59","38","0"
