"Group","ProviderCount","ActiveProviders","ProfitableProviders","LosingProviders","TotalPeak","TotalCurrent","GroupDD","NetPL"
"284538","1997","2","1455","541","28316.739999999976","8547.449999999999","69.81485156836555","8547.449999999999"
"284720","18","0","13","4","3599.71","3401.7","5.500720891405146","3401.7"
"286254","3568","4","2416","1132","9623.010000000015","1341.5800000000036","86.05862406876848","1341.5800000000036"
"284214","13","0","8","4","911.49","666.47","26.88126035392599","666.47"
"276594","8","0","6","2","526.18","459.02","12.76369303280246","459.02"
"286940","252","6","153","97","424.72000000000014","238.39999999999984","43.868901864758016","238.39999999999984"
"286289","10","2","5","4","647.19","212.14000000000004","67.22137239450548","212.14000000000004"
